ps_id,epe_service,epe_start,epe_end,epe_contract_value,epe_stages,epe_high_risk,epe_contract_type,epe_gia,epe_description_1,epe_description_2,epe_description_3,epe_notes,data_origin,e_id,pm_id,temp_sort
5,Interior Designer,2019,2022,8000000,0-7,FALSE,Traditional,Unconfirmed,"This SEN School is a new build SEN school for pupils in the area for students aged 5–16 with communication and interaction needs, including autism. The school is for pupils aged 5-16 years old and was designed to include practical spaces such as Art, Food Technology and Science. Accommodation also included a heart space, main hall and various therapy spaces. Throughout the school are specially designed sensory rooms and an integration therapy room.","I worked within the multi-disciplinary design team, alongside the client team and the Academy Trust to develop the FFE designs for the specialist teaching areas, sensory rooms. I provided full interior design and specification to an enhanced level; this addressed the complexities of the end users with ASD and the need for robustness and safety to be paramount.","With no cohort or academy trust identified in the early stages of the design, we relied on our experience and knowledge gained from designing specialist schools in the past to develop the building design and layout that would be flexible and adaptable enough to suit the yet unknown cohort. We were able to fully support our client in making those key design decisions at early stages involving other stakeholders such as ASD specialists and sensory advisors to design the scheme to the most up to date best practise available to us. This provided confidence to our client and assurance that the end school design would be suitable for students and support their educational needs to the fullest potential providing a safe and nurturing environment in which to thrive.",Use this for demo,demo,122,11,11
5,Interior Designer,2019,2021,14000000,0 - 7,FALSE,Traditional,,This Specialist Academy is a new build 96 place SEN school for pupils with Social Emotional and Mental Health needs. The building was designed on the former site of a primary school and includes three residential blocks of accommodation for up to 36 pupils.,"I was responsible for the interior design and specifications which were carefully designed to support the nature of the cohort with considered use colour, flexible furniture and comforting break out spaces that can adapt to suit the special needs of the pupils.","The specification was developed closely with the client and Academy to ensure additional robustness and safety aspects to suit the needs of the pupils attending, balanced to ensure a home from home environment was provided for the residential units.",Use this for demo,demo,122,12,12
5,Project Manager / Employer’s Agent,2021,2024,5000000,01-Jun,FALSE,JCT Design & Build 2016,"1,365m²","East UK City Council 1 School 1 is a mixed school which caters for pupils aged 5 to 19 with moderate to severe learning difficulties and medical needs. The project involved formation of a new SEN school building on an area of existing open public space with a former derelict pub. Acting as Project Manager and Employer’s Agent for the planning, procurement and construction of £5m new education building from inception to completion, considering the specialist needs of the SEN school. The Building has provided additional and much-needed special education places for children living locally with special education needs, addressing the need for much-needed pupil spaces whilst also completely transforming the immediate local area.","Provided Project Manager and Employer’s Agent services for the project throughout RIBA Stages 1-6, liaising with all stakeholders as necessary to ensure the successful delivery of the project.","A public planning consultation raised concerns from local residents about an existing pedestrian access route through the site, this challenge meant a partial redesign of the scheme with a public footpath being retained along the western site boundary. The New Building was shortlisted in a category at the RICS Awards 2024. Whilst also receiving a Highly Commended Educational Project of the Year award at local Awards.",Use this for demo,demo,6,13,13
11,Overseeing Project Lead,2023,,5500000,01-Apr,FALSE,JCT Traditional,"1,490m²","The project is a major refurbishment and adaptation to parts of a Town Hall to improve the visitor experience, diversify/maximise opportunities for revenue generation, improve accessibility and sensitively restore key heritage areas in scope. The project is funded by a Town fund, as part of the Levelling Up initiative. The scope of works includes restoration of a Hall, including compliant fire strategy for increased occupancy, restored seating and new staging/AV system. There is to be a new Interval Bar serving the Hall on the ground floor, alongside refurbished and improved toilets with inclusive design considerations. There is also to be a new café and ancillary areas on the lower ground floor, along with a new accessible entrance to reinstate the historic frontage.","My role to date has been primarily an overseeing project management function and CDM-PD from RIBA Stages 2-4. I have provided experienced support to the client and design team on this complex, multi-faceted, high-profile project with significant ward-member interest. I have helped manage the scope & (finite) budget which has been a challenge particularly with endless building fabric issues. We’ve worked closely with the conservation officer in striving to meet compliance aspects such as ventilation and accessibility without detracting from the heritage setting.","The primary challenges have been in managing the limited funding budget set against competing agendas (quality of theatre experience, quality of finish, accessibility etc) and a myriad of condition issues (fabric, M&E etc). The unknown building infrastructure (e.g. the Hall ventilation system) has necessitated camera and smoke surveys alongside extensive opening up to establish potential design solutions.",Use this for demo,demo,58,14,14
5,Lead Technical Advisor/Employer’s Agent,2023,2024,350000,01-Jun,FALSE,JCT D&B,100m²,"The project involved the replacement of a condemned modular building with external works to house the school-run two-year-olds provision. Provided supervision to the project architect at feasibility stage to establish the scope of works and brief requirements. Then acted as Employer’s Agent, Lead TA and Contract Administrator under the D&B contract.","I was responsible for facilitating discussions between the client, school and modular contractor to agree choices on finishes, reviewed the contractor’s proposals for practicality and technical compliance, and acted as contract administrator during the construction phase including arranging and minuting site progress meetings.","Whilst this was a relatively straightforward project, the key challenges were in procurement of the modular contractor via a framework that had expired, and construction logistics on a tight road network and live school site. The handover process was also particularly challenging with last minute Building Control issues such as SBEM compliance and incorrectly installed below ground drainage.",Use this for demo,demo,58,15,15
5,"Lead Architect, CDM-PD",2020,2022,800000,01-Jun,FALSE,JCT Traditional,980m²,"The client’s brief was for a 30 place Specially Resourced Provision (SRP) for Autism at a Secondary Academy in the area. The school had identified two underused spaces in the existing first floor LRC and ground floor former 6th Form Base that could be remodelled for this purpose. To exploit opportunities for shared resources, the SRP was proposed to sit directly adjacent their established SEN base and maximise benefit of the existing separate entrance. The LRC would then be relocated downstairs to the former 6th Form Base to form a contemporary, central and accessible whole-school facility. Pupils also have access to their own external play space, which extends the curriculum to the outside. This includes a vegetable garden, quiet shaded seating areas and sensory play.",Provided lead architectural services from RIBA Stages 1-6. Co-ordinated the multi-disciplinary team and undertook CDM-PD and contract administrator duties.,The key constraints on this project were programme and safe segregation between contractor and students. The project was successfully delivered under budget through collaboration with the school regarding contractor’s welfare facilities.,Use this for demo,demo,58,16,16
16,Lead TA,2017,2021,38000000,04-Jun,FALSE,NEC3 D&B,440m²,"This Park & Ride was the third in a series of successful Park & Ride facilities across the city, with the primary driver to continue reducing traffic congestion and air pollution in the city centre. The facility operates all electric buses with zero emissions, and has 1,200 vehicle parking spaces, 26 electric vehicle charging spaces (with provision for additional), secure cycle and mobility scooter storage. The site is powered by a carport solar array with battery storage, making this the first fully solar powered park and ride in the UK. North Nordwick were responsible for the multi-disciplinary design and Clerk of Works services for the terminus building, the immediate landscape setting, and co-ordinated the electrical infrastructure within the wider site.","My involvement came as a result of a member of my team departing. I provided lead technical advisor services to REMOVED-NAME who assembled the consultant team. I worked closely with the modular contractor/designer to ensure details from the planning approval and design intent were followed through, were robust and fit for purpose. The volume of specialists and co-ordination between them was the biggest challenge on this civils-focussed project.",The scheme won several prestigious awards including the Constructing Excellence Transport Project of the Year 2022.,Use this for demo,demo,58,17,17
5,Director – Project Management,2011,2016,14000000,02-Jun,FALSE,JCT Traditional,2700m2,Provision of a new 110 place Complex Needs SEN School in the area on greenfield site.,"Overall project direction including supervision of Project Manager role and management of overall Nordwick Project Services design and cost management offering.
Any specific","The project received a lot of local resistance and several engagement events were held to address issues. On site the project met challenging ground conditions following an exceptionally wet period following commencement. However, the project was completed to the delight of end users and in accordance with client requirements.",Use this for demo,demo,124,18,18
5,Director – Project Management,2014,2018,12000000,02-Jun,FALSE,JCT Traditional,3500m2,Provision of a new 630 place Primary School in the area on new site.,Overall project direction including supervision of Project Manager role and management of overall Nordwick Project Services design and cost management offering.,"The project ran into potential delays in the early stages due to complex Planning Conditions. Following meetings with the Head of County Planning and the lead from the counties Children’s Services, we agreed a way forward which would safeguard the programme whilst maintaining statutory requirements. The project was completed on time allowing the School trust to occupy for the start of the school term.",Use this for demo,demo,124,19,19
3,Architectural,2018,2020,8000000,01-Jun,FALSE,JCT,4044 sq.m.,Conversion of a former office building into a facility to accommodate emergency accommodation for homeless households containing 57 apartments alongside staff support services and an external resident’s courtyard. The residential units have been designed to Nationally Described Space Standards (NDSS) given Housing England Funding.,I was lead architect from inception through to completion working under a traditional (JCT) contract. This involved developing proposals in conjunction with the client and designed to Nationally Described Space Standards (NDSS) given Housing England Funding.,"A fire engineer was employed as part of the design team with whom I worked with to help create a fire strategy. This helped with confirmation of requirements for fire compartments, fire escape distances and included creation of an emergency smoke extract systems (ie AOVs).",Use this for demo,demo,59,20,20
13,Architectural,2022,2024,15000000,01-Jun,TRUE,Contract type NEC 3,3-17 Storey Tower Blocks,Renovations to 4 existing tower block schemes to improve thermal performance part-funded by the Social Housing Decarbonisation Fund. The approach was required to be PAS 2035 complaint with Nordwick acting as the retro fit designer. Carbon emissions were reduced by approximately a third and EPC ratings improved from bands D to B and C. ,"From RIBA Stages 1-3 I was the lead architect and lead consultant overseeing a multi-disciplinary team which included a fire engineer, building services engineers, a structural engineer and a building surveyor helping to ensure co-ordination of design. This involved working with the client and design team to develop proposals. Given there was no fire strategy available for the property the starting point was for the fire engineer to develop a retrospective fire strategy. This informed the renovation works required which for example included insertion of AOVs and new fire doors. I was also the PAS 2035 retro fit designer. This involved working with the client and retro fit co-ordinator to consider and agree options to help improve thermal performance and ensure compliance with the PAS 2035 approach and enable funding to be secured.","The scheme progressed under a Design and Build (NEC contract) approach with the contractor selected at the end of RIBA stage 3 once planning approval in place. For RIBA Stages 4-6 I was retained client side and acted as a Technical Advisor, reviewing contractor proposals to ensure compliance with the brief and relevant regulations. This included reviewing design details and, for example, fire ratings of materials utilised consulting with the fire engineer were required.",Use this for demo,demo,59,21,21
15,Architectural,2018,,30000000,01-Mar,FALSE,TBC,5327 sq.m.,"New building Leisure Centre comprising a swimming pool, general sports hall, studios, fitness gym, adventure play facility, café, and general office facilities. The scheme also involves regeneration of the wider site including a new artificial grass sports pitch, skate park / pump track, play areas, outdoor activity zones, external landscaping",I became involved to oversee the project from RIBA stage 2 given expertise on other sports hub projects for the same client. This involved working with the design team and client team to ensure the scheme as required.,Specialist building services and pool filtration companies were employed to ensure sufficient expertise. The proposals also involved sequencing to ensure the existing facilities remain in operation until new complete.,Use this for demo,demo,59,22,22
5,Lead Structural Engineer,2022,,24600000,2 – 5,FALSE,JCT Traditional,~4600m2,"This is a large special educational needs (SEN) school in the county, with three-storey, two-storey and single-storey areas, with a mixture of pitched and flat roofs. The building includes an attached dining hall and sports hall. The superstructure is a steel frame with precast concrete planks, designed and detailed in accordance with disproportionate collapse requirements set out in Building Regulations Part A3 for a Category 2b building. Due to the length of the building a structural movement joint was included where the building changes angle on plan. The substructure is a CFA (Continuous Flight Auger) pile and reinforced concrete ground beam foundation solution under the three-storey area and traditional strip and pad foundations elsewhere, with suspended precast concrete beam and block ground floor throughout.","I was the Lead Structural Engineer from Concept through Detailed Design and Construction, carrying out design calculations and drawings for the project as well as liaising with the Contractor during construction.","Due to the length and angle change of the building a movement joint was required through the primary structure. Complex structural detailing was carried out with coordination from other disciplines to enable construction and allow both sides of the building to expand and contract without a build-up of stresses. To save on costs and minimise embodied carbon, the foundation solution also varied across the building, using the movement joint as a natural division. The three-storey area was piled, with reinforced ground beams, and the remaining areas constructed on traditional pad and strip footings. At the interface, dowelled joints have been used to minimise differential settlement.",Use this for demo,demo,99,23,23
5,Lead Structural Engineer,2022,2025,9700000,2 – 6,FALSE,JCT Traditional,~2170m2,"This project is a three-storey standalone teaching block with attached dining hall and kitchen. The teaching block contains general and IT classrooms as well as design and technology workshops. The superstructure is a steel frame with precast concrete planks, designed and detailed in accordance with disproportionate collapse requirements set out in Building Regulations Part A3 for a Category 2b building. The substructure is a CFA (Continuous Flight Auger) pile and reinforced concrete ground beam foundation solution, with suspended precast concrete beam and block ground floor.","I was the Lead Structural Engineer from Concept through Detailed Design and Construction, carrying out design calculations and drawings for the project as well as liaising with the Contractor during construction.","Foundation construction during extremely wet weather required working closely with the Contractor to coordinate day joint positions with complex reinforcement arrangements. This enabled safer and timely construction despite the weather and was combined with utilising Hy-Rib formwork to reduce operator risk. The steel superstructure was carefully coordinated with complex mechanical ventilation routes during design stages through the use of 3D BIM, incorporating secondary steel trimmers and letter box openings through primary beams. This had the benefit of reducing cost through shallower build-ups and minimising the risk of on-site delays.",Use this for demo,demo,99,24,24
11,Designer/Project Manager,2019,2021,505000,RIBA 2 - 6,FALSE,JCT,n/a,"Repairs to Grade II listed mill owner’s house at an industrial museum including slate roof repairs, penetrating damp, stonework repairs, decayed window frames, brickwork repairs etc. The project also included upgrading the electrical infrastructure on site and replacing electricity and mains water supplies to the canal side moorings.","My role was designer, specifier, project manager, CDM principal designer and contract administrator. I was also the conservation surveyor for the project liaising with the local authority conservation officer from an early stage before submitting the application for listed building consent. The design had to consider the historic nature of the building while preserving and enhancing its historic significance and value. The project then followed the RIBA plan of work which ensured that the design was fully discussed with the client, end users and stakeholders.","Specific challenges included the coronavirus pandemic, bat roosts on site and the health and safety considerations of working alongside a canal and having boaters living on the moorings during the works.",Use this for demo,demo,62,25,25
11,Designer/Project Manager,2020,2021,759000,RIBA 2 - 6,FALSE,JCT,n/a,"Repairs to Grade II listed former town hall (now a venue for concerts, functions and community activities) including slate roof repairs, penetrating damp, stonework repairs, decayed window frames, damaged stained glass, etc. The project also included replacing heavily corroded cast iron clock faces on the clock tower.","My role was designer, specifier, project manager, CDM principal designer and contract administrator. I was also the conservation surveyor for the project liaising with the local authority conservation officer from an early stage before submitting the application for listed building consent. The design had to consider the historic nature of the building while preserving and enhancing its historic significance and value. The project then followed the RIBA plan of work which ensured that the design was fully discussed with the client, end users and stakeholders.","Specific challenges included the coronavirus pandemic, decayed roof timbers and wind uplift to the slates at the top of the tower. Also we found corroding iron cramps had cracked stonework at high level on the clock tower resulting in a significant safety hazard and necessitating additional repair work.",Use this for demo,demo,62,26,26
11,Designer/Project Manager,2022,,10145000,RIBA 2 - 6,FALSE,JCT,n/a,"Renovation of a Victorian building within the Grade I listed market complex including addressing major structural issues, roof works, replacement of floor slabs, replacement of staircases, construction of Victorian-style canopies, upgrade of electrical infrastructure, and drainage works.","My role was designer, specifier, project manager, CDM principal designer and contract administrator. I was also the conservation surveyor for the project liaising with the local authority conservation officer throughout the project. The design had to consider the historic nature of the building while balancing this with the business needs of the market such as improving accessibility and providing tenants with modern facilities. The project then followed the RIBA plan of work which ensured that the design was fully discussed with the client, end users and stakeholders.",Specific challenges included working safely and controlling dust and noise within a busy market complex and the discovery of unexpected defects and features as the work progressed.,Use this for demo,demo,62,27,27
13,NEC Project Manager,2021,2023,10000000,04-Jun,FALSE,,"3,388 m2","The delivery of 32 Nr, 2 storey, semi and detached houses, 2-3 bedrooms and 9 Nr bungalows of 1-2 bedrooms, all meeting either M4(1) and M4(3) Building Regulations. The design requirements incorporating traditional Gas Central Heating and meeting air tightness of and below 3.0m3/hr.","My role in Stage 4 was interrogating and negotiating prices with the Contractor for this negotiated contract and commercially reporting to the Clients Board team. During Stage 5 as the Project Lead providing the full range of NEC 4 Project Management services to manage expectations of time, cost and quality outputs.","This development has significantly enhanced the Gipton area, delivering 41 high-quality homes that meet the evolving needs of local residents. This project has revitalised the local environment, offering modern, accessible accommodation and contributing meaningfully to the community’s growth, wellbeing, and long-term housing sustainability",Use this for demo,demo,80,28,28
13,NEC Project Manager,2023,2025,18000000,04-Jun,FALSE,NEC4 Option A,"5,010 m2","The delivery of 53 Nr, 2 storey, semi and detached houses, 2-4 bedrooms and 2 Nr bungalows of 1-2 bedrooms, all meeting either M4(1) and M4(3) Building Regulations. The design requirements incorporating Air Source Heat Pump technology and meeting air tightness of and below 3.0m3/hr.","My role in Stage 4 was interrogating and negotiating prices with the Contractor for this negotiated contract and commercially reporting to the Clients Board team. During Stage 5 as the Project Lead, I provided full NEC 4 Project Management services to manage expectations of time, cost and quality outputs.","The project is very challenging with the performance of the Contractor and for statutory services, both local upgrades and new connections in meeting programme timescales.",Use this for demo,demo,80,29,29
13,NEC Project Manager,2023,2025,10000000,04-Jun,FALSE,NEC4 Option A,"2,436 m2","The delivery of an apartment building comprising 25 Nr, 1 bedroom apartments and 8 Nr houses of 2-3 bedrooms, all meeting either M4(1) and M4(3) Building Regulations. The design requirements incorporating Air Source Heat Pump technology and meeting air tightness of and below 3.0m3/hr.","My role in Stage 4 was interrogating and negotiating prices with the Contractor for this negotiated contract and commercially reporting to the Clients Board team. During Stage 5 as the Project Lead I provided full NEC 4 Project Management services to manage expectations of time, cost and quality outputs.",The project is very challenging with the performance of the Contractor and for statutory services in meeting programme timescales.,Use this for demo,demo,80,30,30
5,Director in Charge,2022,2027,11000000,RIBA 1-6,FALSE,Traditional,2200 sqm,"The brief for the project requires a new building to support and additional 150 pupils on enrolment, provide a new sports hall which the school currently lacks and demolish and replace the existing DT block which has passed its life expectancy.",I successfully saw the project through the strategic briefing stage with the client (project sponsor) and end users and had oversight of the design development and detailed design states. She will continue to monitor progress on site and contract administration duties.,"The brief was quite diverse with a need to expand enrolment, replace existing design tech facilities and provide a new sports hall suitable for sports, assemblies and testing. This resulted in an innovative approach to design and technology adapting to the evolving design and food tech environment in secondary schools. The result is an all-electric building, with dual mode ventilation and a building focused on practical education.",Use this for demo,demo,123,31,31
5,Technician and Lead,2021,2022,2678064,01-Jun,FALSE,JCT Intermediate with Contractors Design 2016,500m2,"This is a specialist school created by the merger of two Schools, which occupied two adjacent sites. The school provides care and education for students aged 3 to 19. Following the merger, a range of separate works across the school were identified as necessary to consolidate the sites and to accommodate an increase in capacity from 165 to 210 pupil places. Multiple deficiencies had been identified through a previous SEN report prepared by SWN for the County Council. These included insufficient DT/workshop space, inadequate internal sports accommodation, the absence of a roadway connecting the two main school sites, and the need for a safe and secure pickup/drop-off area. One phase of work involved the construction of a new multi-use hall, parking area, and pickup road system, providing a central landmark building that physically connected the two existing sites. A second phase involved the construction of a new vocational workshop with a secure, covered external paved area, allowing it to function as an outdoor classroom.","My initial responsibilities involved assisting and supporting with the Stage 03 design. At Stage 04, I became lead designer for the technical design of the workshop, coordinating works between all consultants. I also provided technical support to the lead architect for the sports hall portion of the project.","During Stage 05, the lead architect retired, and I assumed full design responsibility for the entire project, working closely with the contractor to deliver a high-quality outcome. A particular challenge arose due to the absence of the original lead architect during Stage 05, as progressive design decisions and remained only in his knowledge, and given the complexity of the site there had been lots of iterative design. We successfully navigated this by relying on the strength of the construction package and maintaining clear communication and coordination between SWN and the contractor. We also were able to consult previous email chains, and stored files to validate information. Another complication involved a change in use for the workshop. Initially designed as a vehicular and plumbing workshop, the school’s new management revised its requirements during construction. Nordwick worked collaboratively with the school and contractor to rapidly revise and agree on a design that accommodated the new requirements at the start of Stage 05.",Use this for demo,demo,49,32,32
5,Architectural Assistant,2004,2009,40000000,All RIBA stages,FALSE,Traditional,"19,174sqm","This College’s BSF redevelopment was a One School Pathfinder project in the county, designed to accommodate 1,800 students aged 11–18 as part of the governments Building Schools for the Future (BSF) programme.",Part architectural design lead on concept design all the way through to detailed design and construction on site.,"The design had many varied technical challenges around achieving BREEAM Excellent and organising a complex spatial programme across a sloping site with a difference of 30m from front to back boundaries. The site was also partially live during the construction process. In conclusion, the project achieved BREEAM Excellent rating.",Use this for demo,demo,50,33,33
11,Architectural Assistant,2011,2014,4000000,All RIBA stages,FALSE,Traditional,"3,828sqm","The city Library is the largest public library in the county offering a wide range of services. Originally built in 1965, it serves as a vibrant community hub for learning, creativity, and connection in the heart of the city. This project involved the complete internal and part external remodelling of the original library building, including the installation of a passenger lift, new staircase, and other major structural alterations.",Led on concept design all the way through to detailed design and construction on site.,In its original state the building had poor accessibility both externally and internally. The design required a carefully thought-out design to incorporate a new lift and staircase to allow access to all areas. The building also required improved lighting and ventilation leading to innovative electrical and mechanical solutions that had to be incorporated elegantly into the architectural design and detailing.,Use this for demo,demo,50,34,34
3,Project Lead + Principal,2014,2022,44000000,01-Jun,TRUE,PCSA,Varied – 20+ buildings,"This high profile project involved the re-ordering of the pedestrian circulation for a large 1968 development of deck access flats. This involved the demolition of various walkways, bridges and stairs and their replacement by new controlled access points. This re-design also demanded a full landscaping and external works package including vehicular access, parking and block assigned defensible spaces for tenants.
The buildings themselves were over-clad, re-roofed and insulated.","I formulated the design language for the scheme, conceptualised the external environment and managed a team producing the working drawings package
Any specific","All dwellings were occupied during the works. Rainwater drainage presented a challenge and necessitated a complete re-routing above ground and incorporation of this with the new design ethos. New external areas also required a major attenuation strategy to be implemented.
Some of the existing buildings were of cantilevered reinforced concrete which had been originally designed to the absolute minimum structural requirement meaning that no additional loads could be applied. A bespoke over cladding system had therefore to be developed working as an integrated design team. A further difficulty presented itself when a number of structural concrete cross walls (up to 6 storeys high) were found to contain no reinforcement.
The works themselves had to be coordinated with the renewal of a district heating system taking place concurrently. The scale of the works were reflected by the fact that the largest mobile crane in Europe was employed during construction as well as a majority of the scaffolding available in the area. This latter factor governed and limited the overall programme.
Finally, the site itself was in an area of high social risk requiring guidance and safeguarding for site operatives/ Gang activity, serious assault and even murders within the site boundaries were not unknown.",Use this for demo,demo,72,35,35
9,Project Lead,2021,2023,40000000,04-May,FALSE,Design and Build,"250,00sq.ft","Specialised factory extension on originally reclaimed land for the manufacturing, assembly and shipping of offshore wind turbines.",Architectural lead. Project Team lead. Federation of BIM model.,tringent internal environment requirements. Manoeuvring of large components (85m blades) presented hazards in use. The already completed phase 1 adjacent and the associated marine loading dock were in use during the construction programme. Below ground difficulties present due to Victorian harbour walls and railways still in place at lower levels.,Use this for demo,demo,72,36,36
5,Electrical Engineer,2023,2025,9000000,05-Jun,FALSE,Traditional,2150 m²,"The new three-storey teaching block at the Academy was designed to support the school’s growing student population and curriculum needs. The electrical services work included significant infrastructure upgrades aligned with modern educational standards, site supervision and handover procedures.","In my role as an Electrical Engineer, I was responsible for overseeing the delivery of electrical systems during the construction and completion phases of the new teaching block. I worked closely with the contractors to ensure that the electrical installations met the project specifications, statutory requirements, and the client’s operational needs. My involvement included reviewing technical submittals, attending site progress meetings, inspecting works for quality and compliance, and supporting the commissioning and handover process.","The electrical systems required close coordination with architectural, HVAC, and ICT designs to prevent clashes and support efficient installation. Additionally, a large solar photovoltaic (PV) system was integrated to help lower energy costs and reduce the school's carbon footprint and help achieve an ‘A+’ rated EPC.",Use this for demo,demo,119,37,37
